Age,hhi_norm,entropy_norm,entity,threshold,threshold_label
23,0.16027750303104923,2.289960007233098,Publisher,2.0,>= 2 games
24,0.1603745264939262,2.273115775029896,Publisher,2.0,>= 2 games
25,0.16453872934511926,2.261012114851054,Publisher,2.0,>= 2 games
26,0.1467388212395459,2.3661939094236577,Publisher,2.0,>= 2 games
27,0.15296190836810786,2.30177946890063,Publisher,2.0,>= 2 games
28,0.13491527309455226,2.4287002168124583,Publisher,2.0,>= 2 games
29,0.14239966879957822,2.405214477503576,Publisher,2.0,>= 2 games
30,0.14773979076145008,2.4703459912254457,Publisher,2.0,>= 2 games
0,0.17913255467204184,1.8894523339709235,Publisher,5.0,>= 5 games
1,0.1669281098731144,2.014352121741489,Publisher,5.0,>= 5 games
2,0.16204108691088084,2.05133958584651,Publisher,5.0,>= 5 games
3,0.16431211456723382,2.0545274917511316,Publisher,5.0,>= 5 games
4,0.16584906440305452,2.054495801849917,Publisher,5.0,>= 5 games
5,0.1655796781853769,2.086097567022297,Publisher,5.0,>= 5 games
6,0.15946488480193063,2.1247312319509377,Publisher,5.0,>= 5 games
7,0.15425202029565552,2.1629287637290475,Publisher,5.0,>= 5 games
8,0.15012441361029605,2.1955065476654836,Publisher,5.0,>= 5 games
9,0.15008246673365877,2.2235521934815394,Publisher,5.0,>= 5 games
10,0.15796193259807306,2.205870296892842,Publisher,5.0,>= 5 games
11,0.15506590009700427,2.1966606659275048,Publisher,5.0,>= 5 games
12,0.16350320739155494,2.1885985132012675,Publisher,5.0,>= 5 games
13,0.14780981241456215,2.259961865429624,Publisher,5.0,>= 5 games
14,0.15456361849096045,2.2414378020197643,Publisher,5.0,>= 5 games
15,0.1601521463485609,2.267640906084875,Publisher,5.0,>= 5 games
16,0.14859993707088484,2.3115229751991446,Publisher,5.0,>= 5 games
17,0.15054252598580403,2.286718028036534,Publisher,5.0,>= 5 games
18,0.146559267494912,2.3372487320196416,Publisher,5.0,>= 5 games
19,0.16002762798016731,2.3123764288375184,Publisher,5.0,>= 5 games
20,0.14443392470780697,2.359122057138863,Publisher,5.0,>= 5 games
21,0.15013240747826775,2.291144175287051,Publisher,5.0,>= 5 games
22,0.16886510528347778,2.258156600115264,Publisher,5.0,>= 5 games
23,0.16089114373151345,2.299918095851871,Publisher,5.0,>= 5 games
24,0.15899214716870003,2.291010152640461,Publisher,5.0,>= 5 games
25,0.16445911857867443,2.267236538573934,Publisher,5.0,>= 5 games
26,0.146108393944474,2.38506054296568,Publisher,5.0,>= 5 games
27,0.1447122283859159,2.3553752137747406,Publisher,5.0,>= 5 games
28,0.1347446784033213,2.436404899802435,Publisher,5.0,>= 5 games
29,0.14037906720824347,2.422306987697925,Publisher,5.0,>= 5 games
30,0.14773979076145008,2.4703459912254457,Publisher,5.0,>= 5 games
0,0.17521458965685519,1.935038488021572,Publisher,10.0,>= 10 games
