Year,hhi_norm,entropy_norm,entity,threshold,threshold_label
2007,0.16561136509454086,2.085332785189785,Publisher,2.0,>= 2 games
2008,0.17482404993954934,2.0261472826024227,Publisher,2.0,>= 2 games
2009,0.19314799318520878,1.936775352283298,Publisher,2.0,>= 2 games
2010,0.19783776711149395,1.895781030991759,Publisher,2.0,>= 2 games
2011,0.19040085102799914,1.883807871938249,Publisher,2.0,>= 2 games
2012,0.1971194008336717,1.8513568945240861,Publisher,2.0,>= 2 games
2013,0.19889126450592895,1.8293861063707588,Publisher,2.0,>= 2 games
2014,0.18751380073662532,1.8784239813130499,Publisher,2.0,>= 2 games
2015,0.18580487774692828,1.875587637390923,Publisher,2.0,>= 2 games
2016,0.17953174164085256,1.9040816762525916,Publisher,2.0,>= 2 games
2017,0.1771405328401981,1.9154673971083949,Publisher,2.0,>= 2 games
2018,0.17097485362944165,1.955613789475257,Publisher,2.0,>= 2 games
2019,0.1582711198235013,2.0344806690611543,Publisher,2.0,>= 2 games
2020,0.16290963034930214,1.9995079564330256,Publisher,2.0,>= 2 games
2021,0.16001326817764905,2.019629278385211,Publisher,2.0,>= 2 games
2022,0.16067312613674262,2.0196523525843357,Publisher,2.0,>= 2 games
2023,0.15893921799544386,2.0140521718915267,Publisher,2.0,>= 2 games
1990,0.15724146665241515,2.155942312646779,Publisher,5.0,>= 5 games
1991,0.15490907573698726,2.1628819078052897,Publisher,5.0,>= 5 games
1992,0.15131513134100147,2.1484292672901018,Publisher,5.0,>= 5 games
1993,0.14857556785745982,2.1664237829552677,Publisher,5.0,>= 5 games
1994,0.15463471041035737,2.1568684175463644,Publisher,5.0,>= 5 games
1995,0.1597771981302967,2.1500653657162774,Publisher,5.0,>= 5 games
1996,0.1587667748155156,2.1653448094684506,Publisher,5.0,>= 5 games
1997,0.16357252984654377,2.1484672744610234,Publisher,5.0,>= 5 games
1998,0.15882272770861672,2.1975083373003645,Publisher,5.0,>= 5 games
1999,0.15600532450020094,2.2096503581428015,Publisher,5.0,>= 5 games
2000,0.15989089927857683,2.1893826346936285,Publisher,5.0,>= 5 games
2001,0.1568185575286364,2.19881148286533,Publisher,5.0,>= 5 games
2002,0.14851553001671144,2.2526915686723203,Publisher,5.0,>= 5 games
2003,0.14554774526751382,2.226460649016204,Publisher,5.0,>= 5 games
2004,0.1547103072514414,2.177574327517993,Publisher,5.0,>= 5 games
2005,0.1591452887610733,2.1769130876677454,Publisher,5.0,>= 5 games
2006,0.15987087795926616,2.1981866338865745,Publisher,5.0,>= 5 games
2007,0.15022131533031513,2.2089704480418635,Publisher,5.0,>= 5 games
2008,0.16372923832742883,2.134957702342203,Publisher,5.0,>= 5 games
2009,0.17681707642639677,2.063634926098179,Publisher,5.0,>= 5 games
2010,0.18110999483839255,2.019256285594969,Publisher,5.0,>= 5 games
2011,0.18022024440113352,1.9815145932968965,Publisher,5.0,>= 5 games
2012,0.186447181803878,1.9520479038431502,Publisher,5.0,>= 5 games
2013,0.19010813016372088,1.9077712513735607,Publisher,5.0,>= 5 games
2014,0.17568660009374343,1.9755099860085223,Publisher,5.0,>= 5 games
2015,0.17810584128979925,1.9750835604877466,Publisher,5.0,>= 5 games
2016,0.17105650896687905,2.015821549774773,Publisher,5.0,>= 5 games
2017,0.1684841040338081,2.0210412835416736,Publisher,5.0,>= 5 games
2018,0.16319722400197129,2.0608329395852976,Publisher,5.0,>= 5 games
2019,0.1508926007198932,2.138942311790601,Publisher,5.0,>= 5 games
2020,0.15635687906580087,2.101375071981536,Publisher,5.0,>= 5 games
